Name of Beneficial Owner,Shares of Common Stock Beneficially Owned(1),,Percent of Common Stock Outstanding
Fidelity Investments,"56,583,870",(2),6.49%
Steven P. Jobs,"5,546,451",,*
William V. Campbell,"112,900",(3),*
Timothy D. Cook,"13,327",(4),*
Millard S. Drexler,"230,000",(5),*
Tony Fadell,"288,702",(6),*
"Albert A. Gore, Jr.","70,000",(7),*
Ronald B. Johnson,"1,450,620",(8),*
Arthur D. Levinson,"365,015",(9),*
Peter Oppenheimer,"14,873",(10),*
Eric E. Schmidt,"12,284",(11),*
Jerome B. York,"90,000",(12),*
All current executive officers and directors as a group (14 persons),"8,352,396",(13),1.00%
