Cash,$116
Accounts receivable,278
Inventory,124
Other current assets,41
"Property, plant and equipment","2,549"
Intangible assets subject to amortization,166
Intangible assets—indefinite-lived,5
Regulatory assets,201
Other noncurrent assets,58
Current liabilities,(401)
Non-recourse debt,"(1,255)"
Deferred taxes,(558)
Regulatory liabilities,(117)
Other noncurrent liabilities,(195)
Redeemable preferred stock,(18)
Net identifiable assets acquired,994
Goodwill,"2,489"
Net assets acquired,"$3,483"
