,2010,2009
"Commercial Mortgage Pass-Through Certificates, Series 2007-1","$1,750,000","$1,750,000"
Revolving credit facility,"300,000","550,000"
Term loan,"325,000","325,000"
XCEL credit facility,—,"73,367"
Colombian short-term credit facility,"72,889",—
4.50% senior notes,"999,216",—
5.05% senior notes,"699,186",—
4.625% senior notes,"599,346","599,210"
7.00% senior notes,"500,000","500,000"
7.25% senior notes,"295,420","295,038"
5.0% convertible notes,—,"59,683"
7.25% senior subordinated notes,—,288
Notes payable and capital leases,"46,331","58,995"
Total,"5,587,388","4,211,581"
Less current portion of long term obligations,"(74,896)","(70,521)"
Long-term obligations,"$5,512,492","$4,141,060"
