As of December 31,2015,2014
5.00% Senior Notes due September 2020,599,599
4.75% Senior Notes due 2045,598,—
3.50% Senior Notes due June 2024,597,597
4.60% Senior Notes due June 2044,549,549
2.875% Senior Notes due May 2026 (EUR 500M),545,605
8.205% Junior Subordinated Notes due January 2027,521,521
3.125% Senior Notes due May 2016,500,500
2.80% Senior Notes due 2021,399,—
4.00% Senior Notes due November 2023,349,349
6.25% Senior Notes due September 2040,298,298
4.76% Senior Notes due March 2018 (CAD 375M),271,322
4.45% Senior Notes due May 2043,249,248
4.25% Senior Notes due December 2042,196,196
3.50% Senior Notes due September 2015,—,599
Commercial paper,50,168
Other,16,31
Total debt,"5,737","5,582"
Less short-term and current portion of long-term debt,562,783
Total long-term debt,"$5,175","$4,799"
