,Operating Revenues (in millions),% of Total,Number of Customers,% of Total,Estimated Population Served (in millions),% of Total
New Jersey,$639.0,24.9%,"639,838",20.3%,2.5,21.9%
Pennsylvania,557.7,21.7%,"658,153",20.8%,2.2,19.3%
Missouri,279.5,10.9%,"455,730",14.4%,1.5,13.2%
Illinois(a),256.4,10.0%,"308,014",9.8%,1.2,10.5%
Indiana,198.7,7.8%,"289,068",9.2%,1.2,10.5%
California,193.3,7.5%,"174,188",5.5%,0.6,5.3%
West Virginia(b),125.0,4.9%,"172,159",5.4%,0.6,5.3%
Subtotal (Top Seven States),"2,249.6",87.7%,"2,697,150",85.4%,9.8,86.0%
Other(c),314.8,12.3%,"461,076",14.6%,1.6,14.0%
Total Regulated Businesses,"$2,564.4",100.0%,"3,158,226",100.0%,11.4,100.0%
