,OperatingRevenues(In millions),% of Total,Number ofCustomers,% of Total,EstimatedPopulationServed(In millions),% of Total
New Jersey,$704,25.7%,"660,580",20.3%,2.7,22.3%
Pennsylvania,614,22.4%,"672,407",20.7%,2.3,19.0%
Illinois(a),270,9.8%,"313,058",9.6%,1.3,10.7%
Missouri,269,9.8%,"473,245",14.5%,1.5,12.4%
Indiana,206,7.5%,"295,994",9.1%,1.3,10.7%
California,198,7.2%,"174,942",5.4%,0.6,5.0%
West Virginia(b),129,4.7%,"169,037",5.2%,0.6,5.0%
Subtotal (Top Seven States),"2,390",87.1%,"2,759,263",84.8%,10.3,85.1%
Other(c),353,12.9%,"493,428",15.2%,1.8,14.9%
Total Regulated Businesses,"$2,743",100.0%,"3,252,691",100.0%,12.1,100.0%
