( dollar amounts in millions ),december 31 2012,december 31 2011
total investments gaap,$ 1750,$ 1631
investments held by consolidated sponsored investmentfunds ( 1 ),-524 ( 524 ),-587 ( 587 )
net exposure to consolidated investment funds,430,475
total investments as adjusted,1656,1519
federal reserve bank stock ( 2 ),-89 ( 89 ),-328 ( 328 )
carried interest,-85 ( 85 ),-21 ( 21 )
deferred compensation investments,-62 ( 62 ),-65 ( 65 )
hedged investments,-209 ( 209 ),-43 ( 43 )
total 201ceconomic 201d investment exposure,$ 1211,$ 1062
