,2010,2009
"(in millions of U.S. dollars, except for percentages)",Market Value,Percentage of Total,Market Value,Percentageof Total
Treasury,"$2,075",4%,"$2,068",5%
Agency,"2,015",4%,"2,698",6%
Corporate and asset-backed securities,"15,900",33%,"13,537",30%
Mortgage-backed securities,"12,362",25%,"11,311",25%
Municipal,"2,449",5%,"2,300",5%
Non-U.S.,"12,199",25%,"11,172",25%
Short-term investments,"1,983",4%,"1,667",4%
Total,"$48,983",100%,"$44,753",100%
AAA,"$23,718",48%,"$22,884",51%
AA,"4,714",10%,"4,021",9%
A,"8,482",17%,"7,461",17%
BBB,"5,487",11%,"4,910",11%
BB,"3,357",7%,"2,866",6%
B,"2,393",5%,"2,029",5%
Other,832,2%,582,1%
Total,"$48,983",100%,"$44,753",100%
