( in millions ),"years ended december 31 , 2013","years ended december 31 , 2012","years ended december 31 , 2011","years ended december 31 , 2010","years ended december 31 , 2009"
net income ( loss ),$ 132.8,$ 119.0,$ 17.1,$ -29.2 ( 29.2 ),$ -373.4 ( 373.4 )
depreciation and amortization,208.2,210.2,204.9,209.4,218.2
income tax expense ( benefit ),62.7,67.1,11.2,-7.8 ( 7.8 ),-87.8 ( 87.8 )
interest expense net,250.1,307.4,324.2,391.9,431.7
ebitda,653.8,703.7,557.4,564.3,188.7
non-cash equity-based compensation,8.6,22.1,19.5,11.5,15.9
sponsor fees,2.5,5.0,5.0,5.0,5.0
consulting and debt-related professional fees,0.1,0.6,5.1,15.1,14.1
goodwill impairment,2014,2014,2014,2014,241.8
net loss ( gain ) on extinguishments of long-term debt,64.0,17.2,118.9,-2.0 ( 2.0 ),2014
litigation net ( i ),-4.1 ( 4.1 ),4.3,2014,2014,2014
ipo- and secondary-offering related expenses,75.0,2014,2014,2014,2014
other adjustments ( ii ),8.6,13.7,11.4,7.9,-0.1 ( 0.1 )
adjusted ebitda,$ 808.5,$ 766.6,$ 717.3,$ 601.8,$ 465.4
