,"Years Ended December 31,"
(in millions),2015,2014,2013,2012,2011
Net income,$403.1,$244.9,$132.8,$119.0,$17.1
Amortization of intangibles<sup>(a)</sup>,173.9,161.2,161.2,163.7,165.7
Non-cash equity-based compensation,31.2,16.4,8.6,22.1,19.5
Non-cash equity-based compensation related to equity investment<sup>(b)</sup>,20.0,—,—,—,—
Net loss on extinguishments of long-term debt,24.3,90.7,64.0,17.2,118.9
Acquisition and integration expenses<sup>(c)</sup>,10.2,—,—,—,—
Gain on remeasurement of equity investment<sup>(d)</sup>,(98.1),—,—,—,—
Other adjustments<sup>(e)</sup>,3.7,(0.3),61.2,(3.3),(15.6)
Aggregate adjustment for income taxes<sup>(f)</sup>,(64.8),(103.0),(113.5),(71.6),(106.8)
Non-GAAP net income<sup>(g)</sup>,$503.5,$409.9,$314.3,$247.1,$198.8
