,Net Deferred Financing Costs (In $ millions)
"As of December 31, 2011",28
Financing costs deferred<sup>(1)</sup>,8
Accelerated amortization due to refinancing activity<sup>(2)</sup>,(1)
Amortization,(5)
"As of December 31, 2012",30
Financing costs deferred<sup>(3)</sup>,2
Accelerated amortization due to refinancing activity,—
Amortization,(5)
"As of December 31, 2013",27
Financing costs deferred<sup>(4)</sup>,10
Accelerated amortization due to refinancing activity<sup>(5)</sup>,(5)
Amortization,(5)
"As of December 31, 2014",27
