In millions of dollars,2009,2008,2007,% Change 2009 vs. 2008,% Change 2008 vs. 2007
Net interest revenue,"$3,173","$3,332","$2,723",(5)%,22%
Non-interest revenue,"(6,855)","(42,906)","(20,619)",84,NM
"Revenues, net of interest expense","$(3,682)","$(39,574)","$(17,896)",91%,NM
Total operating expenses,$896,$988,"$1,070",(9)%,(8)%
Net credit losses,"$5,420",$909,$436,NM,NM
Provision for unfunded lending commitments,111,(172),71,NM,NM
Credit reserve builds/(release),(483),"2,844",378,NM,NM
Provisions for credit losses and for benefits and claims,"$5,048","$3,581",$885,41%,NM
(Loss) from continuing operations before taxes,"$(9,626)","$(44,143)","$(19,851)",78%,NM
Income taxes (benefits),"(4,323)","(17,149)","(7,740)",75,NM
(Loss) from continuing operations,"$(5,303)","$(26,994)","$(12,111)",80%,NM
Net income (loss) attributable to noncontrolling interests,(17),(205),149,92,NM
Net (loss),"$(5,286)","$(26,789)","$(12,260)",80%,NM
EOP assets(in billions of dollars),$154,$241,$351,(36)%,(31)%
