In millions of dollars,2009,2008,2007
Net interest revenue,"$(1,663)","$(2,680)","$(2,008)"
Non-interest revenue,"(8,893)",422,(302)
"Total revenues, net of interest expense","$(10,556)","$(2,258)","$(2,310)"
Total operating expenses,"$1,420",$510,"$1,813"
Provisions for loan losses and for benefits and claims,(1),1,(3)
(Loss) from continuing operations before taxes,"$(11,975)","$(2,769)","$(4,120)"
Income taxes (benefits),"(4,369)",(587),"(1,446)"
(Loss) from continuing operations,"$(7,606)","$(2,182)","$(2,674)"
"Income (loss) from discontinued operations, net of taxes",(445),"4,002",708
Net income (loss) before attribution of noncontrolling interests,"$(8,051)","$1,820","$(1,966)"
Net income attributable to noncontrolling interests,—,—,2
Net income (loss),"$(8,051)","$1,820","$(1,968)"
