In millions of dollars,2018,2017,2016,% Change2018 vs. 2017,% Change2017 vs. 2016
Net interest revenue,"$2,254","$2,000","$3,045",13%,(34)%
Non-interest revenue,(171),"1,132","2,188",NM,(48)
"Total revenues, net of interest expense","$2,083","$3,132","$5,233",(33)%,(40)%
Total operating expenses,"$2,272","$3,814","$5,042",(40)%,(24)%
Net credit losses,$21,$149,$435,(86)%,(66)%
Credit reserve build (release),(218),(317),(456),31,30
Provision (release) for unfunded lending commitments,(3),—,(8),—,100
Provision for benefits and claims,(2),(7),98,71,NM
Provisions for credit losses and for benefits and claims,$(202),$(175),$69,(15),NM
Income (loss) from continuing operations before taxes,$13,$(507),$122,NM,NM
Income taxes (benefits),(113),"19,064",(455),NM,NM
Income (loss) from continuing operations,$126,"$(19,571)",$577,NM,NM
"Income (loss) from discontinued operations, net of taxes",(8),(111),(58),93,(91)
Net income (loss) before attribution of noncontrolling interests,$118,"$(19,682)",$519,NM,NM
Noncontrolling interests,11,(6),(2),NM,NM
Net income (loss),$107,"$(19,676)",$521,NM,NM
