Exhibit No.,Document
3.1,"Form of Restated Certificate of Incorporation (incorporated by reference to Exhibit 3.1 to Amendment No. 2 to the Registration Statement on Form S-4, SEC File No. 333-151586(“Amendment No. 2”))"
3.2,"Bylaws (incorporated by reference to Exhibit 3.2 to the 8-K filed on November 16, 2009 (SEC File No. 1-34177))"
4.1,"Specimen certificate for shares of the Registrant’s Series A common stock, par value $.01 per share (incorporated by reference to Exhibit 4.1 to the Registration Statement onForm S-4, SEC File No. 333-151586 (the “Registration Statement”))"
4.2,"Specimen certificate for shares of the Registrant’s Series B common stock, par value $.01 per share (incorporated by reference to Exhibit 4.2 to the Registration Statement)"
4.3,"Specimen certificate for shares of the Registrant’s Series C common stock, par value $.01 per share (incorporated by reference to Exhibit 4.3 to the Registration Statement)"
4.4,"Form of Registration Rights Agreement, by and between Discovery Communications, Inc. and Advance/Newhouse Programming Partnership (incorporated by reference to Exhibit 4.4 to theRegistration Statement)"
4.5,"Form of Rights Agreement, by and between Discovery Communications, Inc. and Computershare Trust Company, N.A., as rights agent (incorporated by reference to Exhibit 4.5 to theRegistration Statement)"
4.6,"Amendment No. 1 to Rights Agreement between Discovery Communications, Inc. and Computershare Trust Company, N.A. dated December 10, 2008 (incorporated by reference to Exhibit 4.1 tothe 8-K filed on December 11, 2008)"
4.7,"Amendment and Restatement Agreement regarding $700,000,000 Senior Unsecured Notes, dated as of November 4, 2005, between Discovery Communications, Inc. and the Holders of Noteslisted therein, and attached thereto, the Amended and Restated Note Purchase Agreement, dated as of November 4, 2005, between Discovery Communications, Inc. and the Holders of Notes listed therein as Purchasers (the “2001 Note PurchaseAgreement”) (incorporated by reference to Exhibit 4.7 to the Registration Statement)"
4.8,"First Amendment to 2001 Note Purchase Agreement, dated as of April 11, 2007, between Discovery Communications, Inc. and the Holders of Notes listed therein as Noteholders(incorporated by reference to Exhibit 4.8 to the Registration Statement)"
4.9,"Amendment and Restatement Agreement regarding $290,000,000 Senior Unsecured Notes, dated as of November 4, 2005, between Discovery Communications, Inc. and the Holders of Noteslisted therein, and attached thereto, the Amended and Restated Note Purchase Agreement dated as of November 4, 2005, between Discovery Communications, Inc. and the Holders of Notes listed therein as Purchasers (the “2002 Note PurchaseAgreement”) (incorporated by reference to Exhibit 4.9 to the Registration Statement)"
4.10,"First Amendment to 2002 Note Purchase Agreement dated as of April 11, 2007, between Discovery Communications, Inc. and the Holders of Notes listed therein as Noteholders(incorporated by reference to Exhibit 4.10 to the Registration Statement)"
4.11,"Note Purchase Agreement, dated as of December 1, 2005, between Discovery Communications, Inc. and the Holders of Notes listed therein as Purchasers (the “2005 Note PurchaseAgreement”) (incorporated by reference to Exhibit 4.11 to the Registration Statement)"
4.12,"First Amendment to 2005 Note Purchase Agreement, dated as of April 11, 2007, between Discovery Communications, Inc. and the Holders of Notes listed therein as Noteholders(incorporated by reference to Exhibit 4.12 to the Registration Statement)"
