2016,"$76,676"
2017,"75,874"
2018,"75,849"
2019,"50,320"
2020,"48,000"
Thereafter,"64,000"
Total minimum lease payments,"390,719"
"Less: Amount representing lease of the orbital location and estimated executory costs (primarily insurance and maintenance) including profit thereon, included in total minimum lease payments","(186,742)"
Net minimum lease payments,"203,977"
Less: Amount representing interest,"(37,485)"
Present value of net minimum lease payments,"166,492"
Less: Current portion,"(30,849)"
Long-term portion of capital lease obligations,"$135,643"
