Location,ApproximateSize (Sq. Ft.),Segment,MajorityOwned orLeased
"Hamilton, NEW ZEALAND","96,000","Global Institutional, Global Industrial",Owned
"Calgary, Alberta, CANADA","94,000",Global Energy,Owned
"Kwinana, AUSTRALIA","87,000","Global Institutional, Global Industrial",Owned
"Revesby, AUSTRALIA","87,000","Global Institutional, Global Industrial",Owned
"Yangsan, KOREA","85,000","Global Energy, Global Industrial",Owned
"Cisterna, ITALY","80,000",Global Industrial,Owned
"Rovigo, ITALY","77,000",Global Institutional,Owned
"Cuautitlan, MEXICO","76,000","Global Institutional, Global Industrial",Owned
"Barueri, BRAZIL","75,000","Global Institutional, Global Industrial",Leased
"Mullingar, IRELAND","74,000","Global Institutional, Global Industrial",Leased
"Mosta, MALTA","73,000",Global Institutional,Leased
