(millions),Global Industrial,Global Institutional,Global Energy,Other,Total
"December 31, 2015","$2,560.8",$662.7,"$3,151.5",$115.8,"$6,490.8"
Segment change (a),62.7,(62.7),-,-,-
"December 31, 2015 revised","$2,623.5",$600.0,"$3,151.5",$115.8,"$6,490.8"
Current year business combinations (b),-,3.1,0.6,-,3.7
Prior year business combinations (c),3.5,-,0.1,-,3.6
Reclassifications (d),3.5,(0.6),(2.9),-,-
Effect of foreign currency translation,(45.5),(11.8),(55.7),(2.1),(115.1)
"December 31, 2016","$2,585.0",$590.7,"$3,093.6",$113.7,"$6,383.0"
Current year business combinations (b),123.4,403.7,8.1,63.9,599.1
Prior year business combinations (c),(0.2),-,0.3,-,0.1
Dispositions,-,-,-,(42.6),(42.6)
Effect of foreign currency translation,88.8,32.6,101.7,4.4,227.5
"December 31, 2017","$2,797.0","$1,027.0","$3,203.7",$139.4,"$7,167.1"
