,2017,2016,2015
Statutory U.S. rate,35.0%,35.0%,35.0%
One time transition tax,9.1,-,-
"State income taxes, net of federal benefit",0.4,0.9,0.4
Foreign operations,(7.4),(8.0),(8.1)
Domestic manufacturing deduction,(2.2),(2.0),(2.7)
R&D credit,(1.0),(1.1),(1.0)
Change in valuation allowance,0.2,(0.7),(1.7)
Audit settlements and refunds,(0.1),(0.2),(0.7)
Excess stock benefits,(2.3),-,-
Change in federal tax rate (deferred taxes),(18.2),-,-
Venezuela charges,-,-,4.5
Worthless stock deduction,-,0.4,(3.0)
"Other, net",0.2,0.1,0.1
Effective income tax rate,13.7%,24.4%,22.8%
