Named Executive Officer,Base Salary,Target as Percentage of Base Salary,Payout as Percentage of Target,2017 AnnualIncentive Award
"A. Christopher Bakken, III","$620,125",70%,129%,"$559,973"
Marcus V. Brown,"$630,000",70%,129%,"$568,890"
Leo P. Denault,"$1,230,000",135%,129%,"$2,142,045"
Haley R. Fisackerly,"$355,300",40%,119%,"$169,123"
Andrew S. Marsh,"$600,000",70%,129%,"$541,800"
"Phillip R. May, Jr.","$366,150",60%,137%,"$300,000"
Sallie T. Rainer,"$328,275",40%,119%,"$156,259"
"Charles L. Rice, Jr.","$286,424",40%,79%,"$91,000"
Richard C. Riley,"$344,200",40%,204%,"$280,661"
Roderick K. West,"$675,598",70%,129%,"$610,065"
