,Fiscal Year
In Millions,2018,2017,2016
"Net earnings, including earnings attributable to redeemable and noncontrollinginterests","$2,163.0","$1,701.1","$1,736.8"
Depreciation and amortization,618.8,603.6,608.1
After-taxearnings from joint ventures,(84.7),(85.0),(88.4)
Distributions of earnings from joint ventures,113.2,75.6,75.1
Stock-based compensation,77.0,95.7,89.8
Deferred income taxes,(504.3),183.9,120.6
Pension and other postretirement benefit plan contributions,(31.8),(45.4),(47.8)
Pension and other postretirement benefit plan costs,4.6,35.7,118.1
Divestitures loss (gain),-,13.5,(148.2)
"Restructuring, impairment, and other exit costs",126.0,117.0,107.2
"Changes in current assets and liabilities, excluding the effects of acquisitions anddivestitures",542.1,(194.2),298.5
"Other, net",(182.9),(86.3),(105.6)
Net cash provided by operating activities,"$2,841.0","$2,415.2","$2,764.2"
