in millions,fiscal year 2019,fiscal year 2018
net earnings including earnings attributable to redeemable and noncontrollinginterests,$ 1786.2,$ 2163.0
depreciation and amortization,620.1,618.8
after-taxearnings from joint ventures,-72.0 ( 72.0 ),-84.7 ( 84.7 )
distributions of earnings from joint ventures,86.7,113.2
stock-based compensation,84.9,77.0
deferred income taxes,93.5,-504.3 ( 504.3 )
pension and other postretirement benefit plan contributions,-28.8 ( 28.8 ),-31.8 ( 31.8 )
pension and other postretirement benefit plan costs,6.1,4.6
divestitures loss,30.0,-
restructuring impairment and other exit costs,235.7,126.0
changes in current assets and liabilities excluding the effects of acquisitions anddivestitures,-7.5 ( 7.5 ),542.1
other net,-27.9 ( 27.9 ),-182.9 ( 182.9 )
net cash provided by operating activities,$ 2807.0,$ 2841.0
