"Balance at May 31, 2014","$(7,199)"
Utilization of foreign net operating loss carryforwards,"3,387"
Other,(11)
"Balance at May 31, 2015","(3,823)"
Allowance for foreign income tax credit carryforward,"(7,140)"
Allowance for domestic net operating loss carryforwards,"(4,474)"
Allowance for domestic net unrealized capital loss,"(1,526)"
Release of allowance of domestic capital loss carryforward,"1,746"
Other,98
"Balance at May 31, 2016","(15,119)"
Allowance for domestic net operating loss carryforwards,"(1,504)"
Release of allowance of domestic net unrealized capital loss,12
"Balance at December 31, 2016","(16,611)"
Allowance for foreign net operating loss carryforwards,"(6,469)"
Allowance for domestic net operating loss carryforwards,"(3,793)"
Allowance for state credit carryforwards,(685)
Rate change on domestic net operating loss and capital loss carryforwards,"3,868"
Utilization of foreign income tax credit carryforward,"7,140"
"Balance at December 31, 2017","$(16,550)"
