,Shares (in thousands),Weighted-AverageGrant-DateFair Value
"Unvested at May 31, 2015","1,848",$28.97
Granted,461,57.04
Vested,(633),27.55
Forfeited,(70),34.69
"Unvested at May 31, 2016","1,606",37.25
Granted,348,74.26
Vested,(639),31.38
Forfeited,(52),45.27
"Unvested at December 31, 2016","1,263",49.55
Granted,899,79.79
Vested,(858),39.26
Forfeited,(78),59.56
"Unvested at December 31, 2017","1,226",78.29
Granted,650,109.85
Vested,(722),60.08
Forfeited,(70),91.47
"Unvested at December 31, 2018","1,084",$108.51
