$ in millions,year ended december 2014,year ended december 2013,year ended december 2012
compensation and benefits,$ 12691,$ 12613,$ 12944
brokerage clearing exchange anddistribution fees,2501,2341,2208
market development,549,541,509
communications and technology,779,776,782
depreciation and amortization,1337,1322,1738
occupancy,827,839,875
professional fees,902,930,867
insurance reserves1,2014,176,598
other expenses,2585,2931,2435
total non-compensation expenses,9480,9856,10012
total operating expenses,$ 22171,$ 22469,$ 22956
total staff at period-end,34000,32900,32400
