$ in millions,as of december 2014,as of december 2013
global core liquid assets ( gcla ),$ 182947,$ 184070
other cash,7805,5793
gcla and cash,190752,189863
secured client financing,210641,263386
inventory,230667,255534
secured financing agreements,74767,79635
receivables,47317,39557
institutional client services,352751,374726
public equity,4041,4308
private equity,17979,16236
debt1,24768,23274
loans receivable2,28938,14895
other,3771,2310
investing & lending,79497,61023
total inventory and related assets,432248,435749
other assets,22599,22509
total assets,$ 856240,$ 911507
