,As of December
<i>$ in millions</i>,2014,2013
Common shareholders’ equity,"$ 73,597","$ 71,267"
"Deductions for goodwill and identifiable intangible assets, net of deferred tax liabilities","(3,196)","(3,468)"
Deductions for investments in nonconsolidated financial institutions,"(4,928)","(9,091)"
Other adjustments,"(1,213)",(489)
CET1,"$ 64,260","$ 58,219"
Basel III Advanced RWAs,"$577,869","$594,662"
Basel III Advanced CET1 ratio,11.1%,9.8%
Standardized RWAs,"$627,444","$635,092"
Standardized CET1 ratio,10.2%,9.2%
