,As of December
<i>$ in millions</i>,2015,2014
Global Core Liquid Assets (GCLA),"$199,120","$182,947"
Other cash,"9,180","7,805"
GCLA and cash,"208,300","190,752"
Secured client financing,"221,325","210,641"
Inventory,"208,836","230,667"
Secured financing agreements,"63,495","74,767"
Receivables,"39,976","47,317"
Institutional Client Services,"312,307","352,751"
Public equity,"3,991","4,041"
Private equity,"16,985","17,979"
Debt<sup>1</sup>,"23,216","24,768"
Loans receivable<sup>2</sup>,"45,407","28,938"
Other,"4,646","3,771"
Investing & Lending,"94,245","79,497"
Total inventory and related assets,"406,552","432,248"
Other assets,"25,218","22,201"
Total assets,"$861,395","$855,842"
