,Year Ended December
<i>$ in millions</i>,2016,2015,2014
Compensation and benefits,"$11,647","$12,678","$12,691"
"Brokerage, clearing, exchange anddistribution fees","2,555","2,576","2,501"
Market development,457,557,549
Communications and technology,809,806,779
Depreciation and amortization,998,991,"1,337"
Occupancy,788,772,827
Professional fees,882,963,902
Other expenses,"2,168","5,699","2,585"
Total non-compensation expenses,"8,657","12,364","9,480"
Total operating expenses,"$20,304","$25,042","$22,171"
Total staff at period-end,"34,400","36,800","34,000"
