,Year Ended December 31
"($ in millions, except per share amounts)",2011,2010,2009,2008,2007
Sales and Service Revenues,"$6,575","$6,723","$6,292","$6,189","$5,692"
Goodwill Impairment,290,0,0,"2,490",0
Operating income (loss),110,248,211,"(2,354)",447
Net earnings (loss),(94),135,124,"(2,420)",276
Total assets,"6,001","5,203","5,036","4,760","7,658"
Long-term debt (1),"1,830",105,283,283,283
Total long-term obligations,"3,757","1,559","1,645","1,761","1,790"
Free cash flow (2),331,168,(269),121,364
Basic earnings (loss) per share,$(1.93),$2.77,$2.54,$(49.61),$5.65
Diluted earnings (loss) per share,$(1.93),$2.77,$2.54,$(49.61),$5.65
