(In Millions),"Dec 28,2013","Dec 29,2012"
2012 Senior notes due 2017 at 1.35%,"$2,997","$2,997"
2012 Senior notes due 2022 at 2.70%,"1,494","1,494"
2012 Senior notes due 2032 at 4.00%,744,743
2012 Senior notes due 2042 at 4.25%,924,924
2011 Senior notes due 2016 at 1.95%,"1,499","1,498"
2011 Senior notes due 2021 at 3.30%,"1,996","1,996"
2011 Senior notes due 2041 at 4.80%,"1,490","1,489"
2009 Junior subordinated convertible debentures due 2039 at 3.25%,"1,075","1,063"
2005 Junior subordinated convertible debentures due 2035 at 2.95%,946,932
Total long-term debt,"$13,165","$13,136"
