,Unrecognized Tax Benefits
"Balance at July 1, 2008","$ 4,055"
Additions for current year tax positions,"1,044"
Additions for prior year tax positions,"2,052"
Reductions for prior year tax positions,(110)
Settlements,(936)
Reductions related to expirations of statute of limitations,(587)
"Balance at June 30, 2009","5,518"
Additions for current year tax positions,691
Reductions for current year tax positions,(39)
Additions for prior year tax positions,"2,049"
Reductions for prior year tax positions,(298)
Settlements,-
Reductions related to expirations of statute of limitations,(734)
"Balance at June 30, 2010","$ 7,187"
