year ended december 31 ( in millions ),2007,2006,2005
investment banking fees,$ 6635,$ 5520,$ 4088
principal transactions,9015,10778,8072
lending & deposit-related fees,3938,3468,3389
asset management administration and commissions,14356,11855,9988
securities gains ( losses ),164,-543 ( 543 ),-1336 ( 1336 )
mortgage fees and related income,2118,591,1054
credit card income,6911,6913,6754
other income,1829,2175,2684
noninterest revenue,44966,40757,34693
net interest income,26406,21242,19555
total net revenue,$ 71372,$ 61999,$ 54248
