"Year ended December 31, (in millions)",2010,2009,2008
Investment banking fees,"$6,190","$7,087","$5,526"
Principal transactions,"10,894","9,796","(10,699)"
Lending- and deposit-related fees,"6,340","7,045","5,088"
"Asset management, administrationand commissions","13,499","12,540","13,943"
Securities gains,"2,965","1,110","1,560"
Mortgage fees and related income,"3,870","3,678","3,467"
Credit card income,"5,891","7,110","7,419"
Other income,"2,044",916,"2,169"
Noninterest revenue,"51,693","49,282","28,473"
Net interest income,"51,001","51,152","38,779"
Total net revenue,"$102,694","$100,434","$67,252"
