"december 31 , ( in millions )","december 31 , 2013","december 31 , 2012",2013,2012
loans retained,$ 308263,$ 306222,$ 821,$ 1434
loans held-for-sale,11290,4406,26,18
loans at fair value ( a ),2011,2555,197,265
loans 2013 reported,321564,313183,1044,1717
derivative receivables,65759,74983,415,239
receivables from customers and other ( b ),26744,23648,2014,2014
total wholesale credit-related assets,414067,411814,1459,1956
lending-related commitments,446232,434814,206,355
total wholesale credit exposure,$ 860299,$ 846628,$ 1665,$ 2311
credit portfolio management derivatives notional net ( c ),$ -27996 ( 27996 ),$ -27447 ( 27447 ),$ -5 ( 5 ),$ -25 ( 25 )
liquid securities and other cash collateral held against derivatives,-14435 ( 14435 ),-15201 ( 15201 ),na,na
