(in millions),2014,2013,2012
Investment banking fees,"$6,542","$6,354","$5,808"
Principal transactions<sup>(a)</sup>,"10,531","10,141","5,536"
Lending- and deposit-related fees,"5,801","5,945","6,196"
"Asset management, administration and commissions","15,931","15,106","13,868"
Securities gains,77,667,"2,110"
Mortgage fees and related income,"3,563","5,205","8,687"
Card income,"6,020","6,022","5,658"
Other income<sup>(b)</sup>,"2,106","3,847","4,258"
Noninterest revenue,"50,571","53,287","52,121"
Net interest income,"43,634","43,319","44,910"
Total net revenue,"$94,205","$96,606","$97,031"
