Location,Size  (square feet),Principal Usage
"333 S. Wabash AvenueChicago, Illinois","763,322",Principal executive offices of CNA
"401 Penn StreetReading, Pennsylvania","190,677",Property and casualty insurance offices
"2405 Lucien WayMaitland, Florida","116,948",Property and casualty insurance offices
"40 Wall StreetNew York, New York","114,096",Property and casualty insurance offices
"1100 Ward AvenueHonolulu, Hawaii","104,478",Property and casualty insurance offices
"101 S. Phillips AvenueSioux Falls, South Dakota","83,616",Property and casualty insurance offices
"600 N. Pearl StreetDallas, Texas","65,752",Property and casualty insurance offices
"1249 S. River RoadCranbury, New Jersey","50,366",Property and casualty insurance offices
"4267 Meridian ParkwayAurora, Illinois","46,903",Data center
"675 Placentia AvenueBrea, California","46,571",Property and casualty insurance offices
