(Millions),2007,2006,2005
Net income,"$4,096","$3,851","$3,111"
Depreciation and amortization,"1,072","1,079",986
Company pension contributions,(376),(348),(654)
Company postretirement contributions,(3),(37),(134)
Company pension expense,190,347,331
Company postretirement expense,65,93,106
Stock-based compensation expense,228,200,155
Gain from sale of businesses,(849),"(1,074)",—
Income taxes (deferred and accrued income taxes),(34),(178),402
Excess tax benefits from stock-based compensation,(74),(60),(54)
Accounts receivable,(35),(103),(184)
Inventories,(54),(309),(294)
Accounts payable,(4),68,113
Product and other insurance receivables and claims,158,58,122
Other — net,(105),252,198
Net cash provided by operating activities,"$4,275","$3,839","$4,204"
