( dollars in millions ),2007,2006
long-term debt due within one year,$ 1131,$ 471
long-term debt,6084,3061
total debt,$ 7215,$ 3532
cash,$ 1199,$ 2585
trusteed funds from revenue bonds ( a ),$ 744,$ 2013
equity,$ 19223,$ 14607
calculation:,,
total debt,$ 7215,$ 3532
minus cash,1199,2585
minus trusteed funds from revenue bonds,744,2013
total debt minus cash,5272,947
total debt,7215,3532
plus equity,19223,14607
minus cash,1199,2585
minus trusteed funds from revenue bonds,744,2013
total debt plus equity minus cash,$ 24495,$ 15554
cash-adjusted debt-to-capital ratio,22% ( 22 % ),6% ( 6 % )
