"Balance at December 31, 2010","$3,711"
Increase based on tax positions related to the current period,412
Increase based on tax positions related to prior periods,70
Decreases based on tax positions related to prior periods,(79)
Decreases related to settlements with taxing authorities,(56)
Decreases related to a lapse of applicable statute of limitations,(13)
"Balance at December 31, 2011","$4,045"
Increase based on tax positions related to the current period,$299
Increase based on tax positions related to prior periods,127
Decreases based on tax positions related to prior periods,(21)
Decreases related to settlements with taxing authorities,(260)
Decreases related to a lapse of applicable statute of limitations,(125)
"Balance at December 31, 2012","$4,065"
Increase based on tax positions related to the current period,$51
Increase based on tax positions related to prior periods,267
Decreases based on tax positions related to prior periods,(141)
Decreases related to settlements with taxing authorities,(146)
"Balance at December 31, 2013","$4,096"
