operating information,"years ended december 31 , 2007","years ended december 31 , 2006","years ended december 31 , 2005"
natural gas gathered ( bbtu/d ),1171,1168,1077
natural gas processed ( bbtu/d ),621,988,1117
natural gas transported ( mmcf/d ),3579,3634,1333
natural gas sales ( bbtu/d ),281,302,334
natural gas liquids gathered ( mbbl/d ),228,206,191 ( a )
natural gas liquids sales ( mbbl/d ),231,207,207
natural gas liquids fractionated ( mbbl/d ),356,313,292 ( a )
natural gas liquids transported ( mbbl/d ),299,200,187 ( a )
capital expenditures ( thousands of dollars ),$ 709858,$ 201746,$ 56255
conway-to-mount belvieu opis average spread ethane/propane mixture ( $ /gallon ),$ 0.06,$ 0.05,$ 0.05
realized composite ngl sales prices ( $ /gallon ) ( b ),$ 1.06,$ 0.93,$ 0.89
realized condensate sales price ( $ /bbl ) ( b ),$ 67.35,$ 57.84,$ 52.69
realized natural gas sales price ( $ /mmbtu ) ( b ),$ 6.21,$ 6.31,$ 7.30
realized gross processing spread ( $ /mmbtu ) ( b ),$ 5.21,$ 5.05,$ 2.77
