In millions,December 31 2017,December 31 2016
Commitments to extend credit,,
Total commercial lending,"$112,125","$108,256"
Home equity lines of credit,"17,852","17,438"
Credit card,"24,911","22,095"
Other,"4,753","4,192"
Total commitments to extend credit,"159,641","151,981"
Net outstanding standby letters ofcredit (a),"8,651","8,324"
Reinsurance agreements (b),"1,654","1,835"
Standby bond purchase agreements (c),843,790
Other commitments (d),"1,732",967
Total commitments to extendcredit and other commitments,"$172,521","$163,897"
