,2008,2007,2006
core price,4.0% ( 4.0 % ),4.2% ( 4.2 % ),3.4% ( 3.4 % )
fuel surcharges,1.8,.2,1.1
environmental fees,.4,.2,.4
recycling commodities,.1,.9,-.1 ( .1 )
total price,6.3,5.5,4.8
core volume ( 1 ),-3.9 ( 3.9 ),-1.5 ( 1.5 ),2.4
non-core volume,.1,-.1 ( .1 ),2014
total volume,-3.8 ( 3.8 ),-1.6 ( 1.6 ),2.4
total internal growth,2.5,3.9,7.2
acquisitions net of divestitures ( 2 ),13.4,-.5 ( .5 ),-.1 ( .1 )
taxes ( 3 ),.1,2014,.1
total revenue growth,16.0% ( 16.0 % ),3.4% ( 3.4 % ),7.2% ( 7.2 % )
