Property,Partner,Ownership Interest,Economic Interest,Square Feet,Acquired,Acquisition Price<sup>(1)</sup>
1221 Avenue of the Americas<sup>(2)</sup>,RGII,45.00%,45.00%,"2,550",12/03,"$1,000,000"
1515 Broadway<sup>(3)</sup>,SITQ,55.00%,68.45%,"1,750",05/02,"$483,500"
100 Park Avenue,Prudential,49.90%,49.90%,834,02/00,"$95,800"
379 West Broadway,Sutton,45.00%,45.00%,62,12/05,"$19,750"
21 West 34<sup>th</sup>Street<sup>(4)</sup>,Sutton,50.00%,50.00%,30,07/05,"$22,400"
800 Third Avenue<sup>(5)</sup>,Private Investors,42.95%,42.95%,526,12/06,"$285,000"
521 Fifth Avenue,CIF,50.10%,50.10%,460,12/06,"$240,000"
One Court Square,JP Morgan,30.00%,30.00%,"1,402",01/07,"$533,500"
1604-1610 Broadway<sup>(6)</sup>,Onyx/Sutton,45.00%,63.00%,30,11/05,"$4,400"
1745 Broadway<sup>(7)</sup>,Witkoff/SITQ/Lehman Bros.,32.26%,32.26%,674,04/07,"$520,000"
1 and 2 Jericho Plaza,Onyx/Credit Suisse,20.26%,20.26%,640,04/07,"$210,000"
2 Herald Square<sup>(8)</sup>,Gramercy,55.00%,55.00%,354,04/07,"$225,000"
885 Third Avenue<sup>(9)</sup>,Gramercy,55.00%,55.00%,607,07/07,"$317,000"
16 Court Street,CIF,35.00%,35.00%,318,07/07,"$107,500"
The Meadows<sup>(10)</sup>,Onyx,50.00%,50.00%,582,09/07,"$111,500"
388 and 390 Greenwich Street<sup>(11)</sup>,SITQ,50.60%,50.60%,"2,600",12/07,"$1,575,000"
27-29 West 34<sup>th</sup>Street<sup>(12)</sup>,Sutton,50.00%,50.00%,41,01/06,"$30,000"
1551-1555 Broadway<sup>(13)</sup>,Sutton,10.00%,10.00%,26,07/05,"$80,100"
717 Fifth Avenue<sup>(14)</sup>,Sutton/Nakash,32.75%,32.75%,120,09/06,"$251,900"
