,51 East 42<sup>nd</sup> Street,180 Maiden Lane,110 East 42<sup>nd</sup> Street,1515 Broadway,521 Fifth Avenue
Land,"$44,095","$191,523","$34,000","$462,700","$110,100"
Building,"33,470","233,230","46,411","707,938","146,686"
Above market lease value,"5,616","7,944",823,"18,298","3,318"
Acquired in-place leases,"4,333","29,948","5,396","98,661","23,016"
"Other assets, net of other liabilities",—,—,—,"27,127",—
Assets acquired,"87,514","462,645","86,630","1,314,724","283,120"
Fair value adjustment to mortgage note payable,—,—,—,"(3,693)",—
Below market lease value,"7,514","20,320","2,326","84,417","25,977"
Liabilities assumed,"7,514","20,320","2,326","80,724","25,977"
Purchase price allocation,"$80,000","$442,325","$84,304","$1,234,000","$257,143"
Net consideration funded by us at closing,"$81,632","$81,835","$2,744","$259,228","$70,000"
Equity and/or debt investment held,—,—,"$16,000","$40,942","$41,432"
Debt assumed,$—,$—,"$65,000","$458,767","$140,000"
