,2018,2019,2020,2021,2022,thereafter,total
property mortgages and other loans,$ 153593,$ 42289,$ 703018,$ 11656,$ 208003,$ 1656623,$ 2775182
mra facilities,90809,2014,2014,2014,2014,2014,90809
revolving credit facility,2014,2014,2014,2014,2014,40000,40000
unsecured term loans,2014,2014,2014,2014,2014,1500000,1500000
senior unsecured notes,250000,2014,250000,2014,800000,100000,1400000
trust preferred securities,2014,2014,2014,2014,2014,100000,100000
capital lease,2387,2411,2620,2794,2794,819894,832900
ground leases,31049,31066,31436,31628,29472,703254,857905
estimated interest expense,226815,218019,184376,163648,155398,281694,1229950
joint venture debt,200250,717682,473809,449740,223330,2119481,4184292
total,$ 954903,$ 1011467,$ 1645259,$ 659466,$ 1418997,$ 7320946,$ 13011038
