"Balance at December 31, 2009","$1,251,628"
Net income,"55,228"
Distributions,"(53,515)"
"Conversion of Class A units into common shares, at redemption value","(126,764)"
Adjustment to carry redeemable Class A units at redemption value,"191,826"
Redemption of Series D-12 redeemable units,"(13,000)"
"Other, net","22,571"
"Balance at December 31, 2010","1,327,974"
Net income,"55,912"
Distributions,"(50,865)"
"Conversion of Class A units into common shares, at redemption value","(64,830)"
Adjustment to carry redeemable Class A units at redemption value,"(98,092)"
Redemption of Series D-11 redeemable units,"(28,000)"
"Other, net","18,578"
"Balance at December 31, 2011","$1,160,677"
