,2008,2007,2006
gain on disposition adjustment or impairment of acquired assets and obligations,$ -9.0 ( 9.0 ),$ -1.2 ( 1.2 ),$ -19.2 ( 19.2 )
consulting and professional fees,10.1,1.0,8.8
employee severance and retention,1.9,1.6,3.3
information technology integration,0.9,2.6,3.0
in-process research & development,38.5,6.5,2.9
integration personnel,2013,2013,2.5
facility and employee relocation,7.5,2013,1.0
distributor acquisitions,7.3,4.1,2013
sales agent and lease contract terminations,8.1,5.4,0.2
other,3.2,5.2,3.6
acquisition integration and other,$ 68.5,$ 25.2,$ 6.1
