"For the Years Ended December 31,",2013,2012,2011
Impairment/loss on disposal of assets,$10.9,$14.6,$8.4
Consulting and professional fees,99.1,90.1,26.0
"Employee severance and retention, including share-based compensation acceleration",14.2,8.2,23.1
Dedicated project personnel,34.0,15.1,3.2
Certain R&D agreements,0.8,–,–
Relocated facilities,3.6,1.8,–
Distributor acquisitions,0.4,0.8,2.0
Certain litigation matters,26.9,13.7,0.1
Contract terminations,3.9,6.6,6.3
Contingent consideration adjustments,9.0,(2.8),–
Accelerated software amortization,6.0,4.5,–
Other,7.9,2.8,6.1
Special items,$216.7,$155.4,$75.2
