Project Name,Date Completed,Sales Proceeds (in millions),Location
CILCORP/Medina Valley,January 2003,$495,United States
AES Ecogen/AES Mt. Stuart,January 2003,$59,Australia
Mountainview,March 2003,$30,United States
Kelvin,March 2003,$29,South Africa
Songas,April 2003,$94,Tanzania
AES Barry Limited,July 2003,£40/$62,United Kingdom
AES Haripur Private Ltd/AES Meghnaghat Ltd,December 2003,$145,Bangladesh
AES MtKvari/AES Khrami/AES Telasi,August 2003,$23,Republic of Georgia
Medway Power Limited/AES Medway Operations Limited,November 2003,£47/$78,United Kingdom
AES Oasis Limited,December 2003,$150,Pakistan/Oman
