Project,Location,Fuel,Gross MW,"AES Equity Interest (Percent, Rounded)"
Ballylumford,United Kingdom,Gas,"1,246",100%
JHRH<sup>(1)</sup>,China,Hydro,379,35%
Nueva Ventanas,Chile,Coal,272,71%
St. Nikola,Bulgaria,Wind,156,89%
Guacolda 4<sup>(2)</sup>,Chile,Coal,152,35%
Dong Qi<sup>(3)</sup>,China,Wind,49,49%
Huanghua II<sup>(3)</sup>,China,Wind,49,49%
St. Patrick,France,Wind,35,100%
North Rhins,Scotland,Wind,22,100%
Kepezkaya,Turkey,Hydro,28,51%
Damlapinar<sup>(4)</sup>,Turkey,Hydro,16,51%
