,OperatingRevenues(In millions),% of Total,Number ofCustomers,% of Total,EstimatedPopulationServed(In millions),% of Total
New Jersey,$652.3,24.5%,"648,066",20.2%,2.7,22.7%
Pennsylvania,605.4,22.6%,"666,415",20.7%,2.2,18.5%
Missouri,270.2,10.1%,"464,498",14.4%,1.5,12.7%
Illinois (a),262.3,9.8%,"312,017",9.7%,1.3,10.9%
California,209.8,7.8%,"174,198",5.4%,0.6,5.0%
Indiana,200.6,7.5%,"293,666",9.1%,1.2,10.1%
West Virginia (b),127.0,4.7%,"170,371",5.3%,0.6,5.0%
Subtotal (Top Seven States),"2,327.6",87.0%,"2,729,231",84.8%,10.1,84.9%
Other (c),346.7,13.0%,"489,961",15.2%,1.8,15.1%
Total Regulated Businesses,"$2,674.3",100.0%,"3,219,192",100.0%,11.9,100.0%
