,Number of Options,WeightedAverageExercise Price
"Options outstanding, December 31, 2005","12,643,761",$36.53
Granted,"1,505,215",$56.29
Exercised,"(1,982,560)",$33.69
Forfeited,"(413,895)",$39.71
"Options outstanding, December 31, 2006","11,752,521",$39.43
Granted,"1,549,091",$56.17
Exercised,"(1,830,004)",$35.73
Forfeited,"(200,793)",$51.66
"Options outstanding, December 31, 2007","11,270,815",$42.12
Granted,"1,612,507",$60.17
Exercised,"(2,650,733)",$36.25
Forfeited,"(309,026)",$54.31
"Options outstanding, December 31, 2008","9,923,563",$46.24
