(in millions of U.S. dollars),Gross Losses,Reinsurance Recoverable,Net Losses
"Balance at December 31, 2006","$35,517","$13,509","$22,008"
Losses and loss expenses incurred,"10,831","3,480","7,351"
Losses and loss expenses paid,"(9,516)","(3,582)","(5,934)"
Other (including foreign exchange revaluation),280,113,167
"Balance at December 31, 2007","37,112","13,520","23,592"
Losses and loss expenses incurred,"10,944","3,341","7,603"
Losses and loss expenses paid,"(9,899)","(3,572)","(6,327)"
Other (including foreign exchange revaluation),"(1,367)",(387),(980)
Losses and loss expenses acquired,386,33,353
"Balance at December 31, 2008","$37,176","$12,935","$24,241"
