,"Years Ended December 31,"
(in millions),2015,2014,2013,2012,2011
Net income,$403.1,$244.9,$132.8,$119.0,$17.1
Depreciation and amortization,227.4,207.9,208.2,210.2,204.9
Income tax expense,243.9,142.8,62.7,67.1,11.2
"Interest expense, net",159.5,197.3,250.1,307.4,324.2
EBITDA,"1,033.9",792.9,653.8,703.7,557.4
Non-cash equity-based compensation,31.2,16.4,8.6,22.1,19.5
Net loss on extinguishment of long-term debt<sup>(a)</sup>,24.3,90.7,64.0,17.2,118.9
Loss (income) from equity investments<sup>(b)</sup>,10.1,(2.2),(0.6),(0.3),(0.1)
Acquisition and integration expenses<sup>(c)</sup>,10.2,—,—,—,—
Gain on remeasurement of equity investment<sup>(d)</sup>,(98.1),—,—,—,—
Other adjustments<sup>(e)</sup>,6.9,9.2,82.7,23.9,21.6
Adjusted EBITDA<sup>(f)</sup>,"$1,018.5",$907.0,$808.5,$766.6,$717.3
