<i>In millions of dollars</i>,2008,2007,2006
Net interest revenue,"$(1,288)",$(461),$(345)
Non-interest revenue,438,(291),(599)
"Revenues, net of interest expense",$(850),$(752),$(944)
Operating expenses,526,"1,830",202
Provisions for loan losses and for benefits and claims,1,(2),4
Loss from continuing operations before taxes and minority interest,"$(1,377)","$(2,580)","$(1,150)"
Income tax benefits,(421),(922),(498)
"Minority interest, net of taxes",(2),3,2
Loss from continuing operations,$(954),"$(1,661)",$(654)
Income from discontinued operations,"4,410",628,"1,087"
Net income (loss),"$3,456","$(1,033)",$433
