In millions of dollars,2009,2008,2007,% Change 2009 vs. 2008,% Change 2008 vs. 2007
Net interest revenue,$432,"$1,224",$908,(65)%,35%
Non-interest revenue,"14,703","7,199","9,751",NM,(26)
"Total revenues, net of interest expense","$15,135","$8,423","$10,659",80%,(21)%
Total operating expenses,"$3,350","$9,236","$7,960",(64)%,16%
Net credit losses,$3,$10,$—,(70)%,—
Credit reserve build/(release),36,8,4,NM,100%
Provision for unfunded lending commitments,(5),—,—,—,—
Provision for benefits and claims,$155,$205,$154,(24)%,33%
Provisions for loan losses and for benefits and claims,$189,$223,$158,(15)%,41%
Income (loss) from continuing operations before taxes,"$11,596","$(1,036)","$2,541",NM,NM
Income taxes (benefits),"4,489",(272),834,NM,NM
Income (loss) from continuing operations,"$7,107",$(764),"$1,707",NM,NM
Net income (loss) attributable to noncontrolling interests,12,(179),35,NM,NM
Net income (loss),"$7,095",$(585),"$1,672",NM,NM
EOP assets(in billions of dollars),$35,$58,$56,(40)%,4%
EOP deposits(in billions of dollars),60,58,46,3,26
