2015,"$77,089"
2016,"76,809"
2017,"76,007"
2018,"75,982"
2019,"50,331"
Thereafter,"112,000"
Total minimum lease payments,"468,218"
"Less: Amount representing lease of the orbital location and estimated executory costs (primarily insurance and maintenance) including profit thereon, included in total minimum lease payments","(220,883)"
Net minimum lease payments,"247,335"
Less: Amount representing interest,"(52,421)"
Present value of net minimum lease payments,"194,914"
Less: Current portion,"(28,378)"
Long-term portion of capital lease obligations,"$166,536"
