,Fiscal Year
In Millions,2019,2018
"Net earnings, including earnings attributable to redeemable and noncontrollinginterests","$1,786.2","$2,163.0"
Depreciation and amortization,620.1,618.8
After-taxearnings from joint ventures,(72.0),(84.7)
Distributions of earnings from joint ventures,86.7,113.2
Stock-based compensation,84.9,77.0
Deferred income taxes,93.5,(504.3)
Pension and other postretirement benefit plan contributions,(28.8),(31.8)
Pension and other postretirement benefit plan costs,6.1,4.6
Divestitures loss,30.0,-
"Restructuring, impairment, and other exit costs",235.7,126.0
"Changes in current assets and liabilities, excluding the effects of acquisitions anddivestitures",(7.5),542.1
"Other, net",(27.9),(182.9)
Net cash provided by operating activities,"$2,807.0","$2,841.0"
