,As of December
<i>in millions</i>,2012,2011,2010
"Balance, beginning of year","$1,887","$2,081","$1,925"
Increases based on tax positions related to the current year,190,171,171
Increases based on tax positions related to prior years,336,278,162
Decreases related to tax positions of prior years,(109),(41),(104)
Decreases related to settlements,(35),(638),(128)
Acquisitions/(dispositions),(47),47,56
Exchange rate fluctuations,15,(11),(1)
"Balance, end of year","$2,237","$1,887","$2,081"
Related deferred income tax asset<sup>1</sup>,685,569,972
Net unrecognized tax benefit<sup>2</sup>,"$1,552","$1,318","$1,109"
