,Year Ended December
<i>$ in millions</i>,2018,2017,2016
Investment banking,"$ 7,862","$ 7,371","$ 6,273"
Investment management,"6,514","5,803","5,407"
Commissions and fees,"3,199","3,051","3,208"
Market making,"9,451","7,660","9,933"
Other principal transactions,"5,823","5,913","3,382"
Totalnon-interestrevenues,"32,849","29,798","28,203"
Interest income,"19,679","13,113","9,691"
Interest expense,"15,912","10,181","7,104"
Net interest income,"3,767","2,932","2,587"
Total net revenues,"$36,616","$32,730","$30,790"
