(In Millions),Operating Income Reconciliation
"$10,646",2016 CCG Operating Income
"1,250",Lower CCG platform unit cost
905,Lower CCG operating expense
625,Higher gross margin from CCG platform revenue<sup>1</sup>
(645),"Higher factory start-up costs, primarily driven by the ramp of our 10nm process technology"
345,Other
"$8,166",2015 CCG Operating Income
"(2,060)",Higher CCG platform unit costs
"(1,565)",Lower gross margin from CCG platform revenue<sup>2</sup>
435,"Lower factory start-up costs, primarily driven by the ramp of our 14nm process technology"
430,"Lower production costs primarily on our 14nm products, treated as period charges in 2014"
375,Lower operating expense
224,Other
"$10,327",2014 CCG Operating Income
