,Unrecognized Tax Benefits
"Balance at July 1, 2009","$ 5,518"
Additions for current year tax positions,691
Reductions for current year tax positions,(39)
Additions for prior year tax positions,"2,049"
Reductions for prior year tax positions,(298)
Settlements,-
Reductions related to expirations of statute of limitations,(734)
"Balance at June 30, 2010","7,187"
Additions for current year tax positions,"1,338"
Reductions for current year tax positions,-
Additions for prior year tax positions,599
Reductions for prior year tax positions,-
Settlements,-
Reductions related to expirations of statute of limitations,(227)
"Balance at June 30, 2011","$ 8,897"
