"Tier 1capital, December 31, 2007 (in millions)","$88,746"
Net income,"5,605"
Issuance of cumulative perpetual preferred stock toU.S. Treasury,"23,750"
Warrant issued to U.S. Treasury in connection withissuance of preferred stock,"1,250"
Issuance of noncumulative perpetual preferred stock,"7,800"
Issuance of preferred stock – conversion of Bear Stearnspreferred stock,352
Net issuance of common stock,"11,485"
Net issuance of common stock under employee stock-basedcompensation plans,"3,317"
Net issuance of common stock in connection with theBear Stearns merger,"1,198"
Dividends declared,"(6,307)"
Net issuance of qualifying trust preferred capital debtsecurities,"2,619"
DVA on structured debt and derivative liabilities,"(1,475)"
Goodwill and other nonqualifying intangibles (net ofdeferred tax liabilities),"(1,357)"
Other,(879)
Increase in Tier 1 capital,"47,358"
"Tier 1 capital, December 31, 2008","$136,104"
